sosci_var;code;block;konstrukt;itemtext;format;werte;umgepolt;fsqca;thaler;status;varianten;hinweis
EW01;EW;0 Einwilligung;Einwilligung;Ich habe die Informationen gelesen und bin mit der Teilnahme einverstanden.;Auswahl, Pflicht;"1 = ja; 2 = nein (Ende)";nein;;;;A,B,C;
TK01;T1;1 Testkontext;Testkontext;Auf welchem Gerät haben Sie den Test durchgeführt?;Auswahl;"1 = dienstlicher Rechner; 2 = privater Rechner; 3 = Smartphone; 4 = Tablet";nein;;;v2.1 wortgleich;A,B,C;
TK02;T2;1 Testkontext;Testkontext;Haben Sie den Testdurchlauf vollständig abgeschlossen?;Auswahl, Option 2 mit Texteingabe;"1 = ja; 2 = nein, abgebrochen bei: [Text TK02_02a]";nein;;;v2.1 wortgleich;A,B,C;
TK03;T3;1 Testkontext;Testkontext;Haben Sie die Möglichkeit genutzt, Ihre Test-Stimme zu überprüfen?;Auswahl;"1 = ja; 2 = nein; 3 = war mir nicht bekannt";nein;;;v2.1 wortgleich;A,B,C;Auswertung T3 x VER, T3 x DT-Linie
TK04;T4;1 Testkontext;Testkontext;Haben Sie ausprobiert, Ihre Test-Stimme zu ändern (erneut abzustimmen)?;Auswahl;"1 = ja; 2 = nein; 3 = war mir nicht bekannt";nein;;;v2.1 wortgleich;A,B,C;
TK05;T5;1 Testkontext;Testkontext;Wo haben Sie den Test gemacht?;Auswahl;"1 = am Arbeitsplatz; 2 = zu Hause; 3 = unterwegs";nein;;;v2.1 wortgleich;A,B,C;
TK06;T6;1 Testkontext;Selbstselektion;Wie haben Sie von der Möglichkeit erfahren, den Testdurchlauf auszuprobieren?;Auswahl, Option 5 mit Texteingabe;"1 = Intranet oder Rundmail; 2 = Vorgesetzte; 3 = Kolleg:innen; 4 = Personalrat; 5 = anders: [Text TK06_05a]";nein;;;NEU, nicht validiert;A,B,C;
TK07;T7;1 Testkontext;Selbstselektion;Was hat Sie bewogen, am Test teilzunehmen? (Mehrfachnennung möglich);Mehrfachauswahl, Option 5 mit Texteingabe;"TK07_01 Interesse an neuer Technik; TK07_02 Interesse an der Personalratswahl; TK07_03 Bitte von Vorgesetzten oder Kolleg:innen; TK07_04 dienstliche Befassung mit dem Thema; TK07_05 anderes: [Text TK07_05a]; je 1 = nicht gewählt, 2 = gewählt";nein;;;NEU, nicht validiert;A,B,C;
DM01;D1;2 Demografie;Struktur;In welchem Referat arbeiten Sie?;Auswahl;"1 = RIT; 2 = KVR";nein;;;NEU, nicht validiert (Format Analysebericht 6.1);A,B,C;
DM02;D2;2 Demografie;Demografie;Wie alt sind Sie?;Auswahl;"1 = unter 35; 2 = 35 bis 49; 3 = 50 und älter";nein;;;v1.1 K1, Format vergröbert;A,B,C;
DM03;D3;2 Demografie;Demografie;Geschlecht;Auswahl;"1 = weiblich; 2 = männlich; 3 = divers; 4 = keine Angabe";nein;;;v1.1 K2;A,B,C;Auswertung: 3 und 4 zusammenfassen
DM04;D4;2 Demografie;Struktur;Seit wie vielen Jahren sind Sie bei der Stadtverwaltung München beschäftigt?;Auswahl;"1 = unter 5; 2 = 5 bis 15; 3 = über 15 Jahre";nein;;;NEU, nicht validiert (Format Analysebericht 6.1);A,B,C;
DM05;D5;2 Demografie;Struktur;Wie häufig arbeiten Sie mobil, also außerhalb Ihres Arbeitsplatzes?;Auswahl;"1 = (praktisch) nie; 2 = teilweise; 3 = überwiegend";nein;;;NEU, nicht validiert (Format Analysebericht 6.1);A,B,C;
DM06;D6;2 Demografie;Struktur;Welchen Anteil Ihrer Arbeitszeit verbringen Sie am Bildschirm?;Auswahl;"1 = praktisch nie; 2 = unter einem Viertel; 3 = etwa die Hälfte; 4 = mehr als drei Viertel; 5 = fast vollständig";nein;;;Review Fable B3;A,B,C;
DM07;D7;2 Demografie;Struktur;Haben Sie an Ihrem Arbeitsplatz einen dienstlichen Rechner- oder Gerätezugang?;Auswahl;"1 = eigener; 2 = gemeinsam genutzt; 3 = keiner";nein;;;v1.1 K5;A,B,C;
DM08;D8;2 Demografie;Technikkompetenz;Wie schätzen Sie Ihre Technologie- und Internetkompetenz ein?;Skala 5 (1 = sehr gering ... 5 = sehr hoch);1-5;nein;;;v1.1 K6, Parasuraman & Colby (2015);A,B,C;
DM09;D9;2 Demografie;Innovativeness-Proxy;Ich probiere gerne neue Apps und digitale Dienste aus.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;"v1.1 K7; Skalenbruch zu U18 CV6 (4- auf 5-stufig) dokumentiert";A,B,C;
DM10;D10;2 Demografie;Wahlerfahrung;An wie vielen Personalratswahlen haben Sie bisher teilgenommen?;Auswahl;"1 = 0; 2 = 1; 3 = 2; 4 = 3 oder mehr";nein;;;"v1.1 K8; ersetzt U18 CV7";A,B,C;
